jd,ra_c,dec_c,tilename,limmag5,filter
2459478.402777778,242.30769230769232,17.14285714285704,T1903,20.44,L
2459478.404166667,237.4468085106383,29.999999999999915,T2198,20.44,L
2459478.4055555556,250.0,4.285714285714164,T1587,20.44,L
2459478.4069444444,274.45544554455444,-21.42857142857133,T0954,20.44,L
2459478.408333333,242.3762376237624,21.42857142857133,T2005,20.44,L
2459478.409722222,254.3119266055046,0.0,T1480,20.44,L
2459478.4111111113,270.0,-17.14285714285704,T1056,20.44,L
2459478.4125,245.76923076923077,17.14285714285704,T1904,20.44,L
2459478.413888889,30.638297872340427,64.28571428571425,T2747,20.44,L
2459478.4152777777,6.605504587155964,0.0,T1405,20.44,L
2459478.4166666665,356.6037735849057,-12.857142857142748,T1187,20.44,L
2459478.418055556,245.94059405940595,21.42857142857133,T2006,20.44,L
2459478.4194444446,325.53191489361706,-29.999999999999915,T0770,20.44,L
2459478.4208333334,273.46153846153845,-17.14285714285704,T1057,20.44,L
2459478.422222222,249.23076923076923,17.14285714285704,T1905,20.44,L
2459478.423611111,16.9811320754717,12.857142857142748,T1732,20.44,L
2459478.425,21.386138613861387,21.42857142857133,T1943,20.44,L
2459478.426388889,13.333333333333334,4.285714285714164,T1516,20.44,L
2459478.427777778,255.70093457943923,8.571428571428456,T1696,20.44,L
2459478.4291666667,290.2040816326531,-25.714285714285623,T0858,20.44,L
2459478.4305555555,276.9230769230769,-17.14285714285704,T1058,20.44,L
2459478.4319444443,25.714285714285715,25.714285714285623,T2045,20.44,L
2459478.433333333,260.0,4.285714285714164,T1590,20.44,L
2459478.4347222224,24.95049504950495,21.42857142857133,T1944,20.44,L
2459478.436111111,248.93617021276597,29.999999999999915,T2201,20.44,L
2459478.4375,259.06542056074767,8.571428571428456,T1697,20.44,L
2459478.438888889,0.0,-17.14285714285704,T0978,20.44,L
2459478.4402777776,280.3846153846154,-17.14285714285704,T1059,20.44,L
2459478.441666667,33.88235294117647,38.5714285714285,T2328,20.44,L
2459478.4430555557,10.093457943925234,-8.571428571428456,T1191,20.44,L
2459478.4444444445,270.0,-4.285714285714164,T1376,20.44,L
2459478.4458333333,356.43564356435644,-21.42857142857133,T0977,20.44,L
2459478.447222222,288.71287128712873,-21.42857142857133,T0958,20.44,L
2459478.448611111,3.4615384615384617,-17.14285714285704,T0979,20.44,L
2459478.45,297.55102040816325,-25.714285714285623,T0860,20.44,L
2459478.451388889,275.8878504672897,-8.571428571428456,T1270,20.44,L
2459478.452777778,33.06122448979592,25.714285714285623,T2047,20.44,L
2459478.4541666666,10.18867924528302,-12.857142857142748,T1085,20.44,L
2459478.4555555554,0.0,-21.42857142857133,T0877,20.44,L
2459478.456944444,292.2772277227723,-21.42857142857133,T0959,20.44,L
2459478.4583333335,6.923076923076923,-17.14285714285704,T0980,20.44,L
2459478.4597222223,301.2244897959184,-25.714285714285623,T0861,20.44,L
2459478.461111111,270.0,4.285714285714164,T1593,20.44,L
2459478.4625,36.734693877551024,25.714285714285623,T2048,20.44,L
2459478.4638888887,13.584905660377359,-12.857142857142748,T1086,20.44,L
2459478.465277778,3.5643564356435644,-21.42857142857133,T0878,20.44,L
2459478.466666667,356.3265306122449,-25.714285714285623,T0876,20.44,L
2459478.4680555556,10.384615384615385,-17.14285714285704,T0981,20.44,L
2459478.4694444444,47.64705882352941,51.428571428571374,T2568,20.44,L
2459478.470833333,20.186915887850468,-8.571428571428456,T1194,20.44,L
2459478.472222222,344.6808510638298,-29.999999999999915,T0775,20.44,L
2459478.4736111113,277.4311926605505,0.0,T1487,20.44,L
2459478.475,7.128712871287129,-21.42857142857133,T0879,20.44,L
2459478.476388889,38.07692307692308,17.14285714285704,T1844,20.44,L
2459478.4777777777,0.0,-25.714285714285623,T0779,20.44,L
2459478.4791666665,26.666666666666668,-4.285714285714164,T1303,20.44,L
2459478.480555556,321.7021276595745,-29.999999999999915,T0769,20.44,L
2459478.4819444446,33.333333333333336,4.285714285714164,T1522,20.44,L
2459478.4833333334,280.73394495412845,0.0,T1488,20.44,L
2459478.484722222,10.693069306930694,-21.42857142857133,T0880,20.44,L
2459478.486111111,41.53846153846154,17.14285714285704,T1845,20.44,L
2459478.4875,270.8910891089109,21.42857142857133,T2013,20.44,L
2459478.488888889,280.0,4.285714285714164,T1596,20.44,L
2459478.490277778,312.2448979591837,-25.714285714285623,T0864,20.44,L
2459478.4916666667,23.77358490566038,-12.857142857142748,T1089,20.44,L
2459478.4930555555,47.755102040816325,25.714285714285623,T2051,20.44,L
2459478.4944444443,46.336633663366335,21.42857142857133,T1950,20.44,L
2459478.495833333,45.0,17.14285714285704,T1846,20.44,L
2459478.4972222224,7.346938775510204,-25.714285714285623,T0781,20.44,L
2459478.498611111,292.7102803738318,-8.571428571428456,T1275,20.44,L
2459478.5,329.3617021276596,-29.999999999999915,T0771,20.44,L
2459478.501388889,27.169811320754718,-12.857142857142748,T1090,20.44,L
2459478.5027777776,356.17021276595744,-29.999999999999915,T0778,20.44,L
2459478.504166667,272.0,34.28571428571421,T2298,20.44,L
2459478.5055555557,271.05882352941177,38.5714285714285,T2384,20.44,L
2459478.5069444445,36.66666666666667,-4.285714285714164,T1306,20.44,L
2459478.5083333333,47.54716981132076,12.857142857142748,T1741,20.44,L
2459478.509722222,43.333333333333336,4.285714285714164,T1525,20.44,L
2459478.511111111,333.19148936170217,-29.999999999999915,T0772,20.44,L
2459478.5125,59.294117647058826,38.5714285714285,T2334,20.44,L
2459478.513888889,53.46534653465346,21.42857142857133,T1952,20.44,L
2459478.515277778,276.0,34.28571428571421,T2299,20.44,L
2459478.5166666666,290.0,4.285714285714164,T1599,20.44,L
2459478.5180555554,283.84615384615387,17.14285714285704,T1915,20.44,L
2459478.519444444,293.9449541284404,0.0,T1492,20.44,L
2459478.5208333335,323.265306122449,-25.714285714285623,T0867,20.44,L
2459478.5222222223,337.0212765957447,-29.999999999999915,T0773,20.44,L
2459478.523611111,58.775510204081634,25.714285714285623,T2054,20.44,L
2459478.525,46.23853211009175,0.0,T1417,20.44,L
2459478.5263888887,317.2277227722772,-21.42857142857133,T0966,20.44,L
2459478.527777778,287.3076923076923,17.14285714285704,T1916,20.44,L
2459478.529166667,297.2477064220184,0.0,T1493,20.44,L
2459478.5305555556,292.7102803738318,8.571428571428456,T1707,20.44,L
2459478.5319444444,53.83177570093458,8.571428571428456,T1636,20.44,L
2459478.533333333,340.8510638297873,-29.999999999999915,T0774,20.44,L
2459478.534722222,46.66666666666667,-4.285714285714164,T1309,20.44,L
2459478.5361111113,306.1682242990654,-8.571428571428456,T1279,20.44,L
2459478.5375,303.33333333333337,-4.285714285714164,T1386,20.44,L
2459478.538888889,40.75471698113208,-12.857142857142748,T1094,20.44,L
2459478.5402777777,296.0747663551402,8.571428571428456,T1708,20.44,L
2459478.5416666665,330.6122448979592,-25.714285714285623,T0869,20.44,L
2459478.543055556,72.97297297297297,47.14285714285708,T2500,20.44,L
2459478.5444444446,38.07692307692308,-17.14285714285704,T0989,20.44,L
2459478.5458333334,290.2040816326531,25.714285714285623,T2117,20.44,L
2459478.547222222,68.93617021276596,29.999999999999915,T2154,20.44,L
2459478.548611111,288.0,34.28571428571421,T2302,20.44,L
2459478.55,78.54545454545455,59.99999999999996,T2700,20.44,L
2459478.551388889,334.2857142857143,-25.714285714285623,T0870,20.44,L
2459478.552777778,56.14678899082569,0.0,T1420,20.44,L
2459478.5541666667,69.79591836734694,25.714285714285623,T2057,20.44,L
2459478.5555555555,321.92307692307696,-17.14285714285704,T1071,20.44,L
2459478.5569444443,15.319148936170214,-29.999999999999915,T0689,20.44,L
2459478.558333333,29.387755102040817,-25.714285714285623,T0787,20.44,L
2459478.5597222224,292.0,34.28571428571421,T2303,20.44,L
2459478.561111111,319.24528301886795,-12.857142857142748,T1176,20.44,L
2459478.5625,56.66666666666667,-4.285714285714164,T1312,20.44,L
2459478.563888889,39.20792079207921,-21.42857142857133,T0888,20.44,L
2459478.5652777776,325.3846153846154,-17.14285714285704,T1072,20.44,L
2459478.566666667,19.148936170212767,-29.999999999999915,T0690,20.44,L
2459478.5680555557,306.1682242990654,8.571428571428456,T1711,20.44,L
2459478.5694444445,67.28971962616822,8.571428571428456,T1640,20.44,L
2459478.5708333333,62.75229357798165,0.0,T1422,20.44,L
2459478.572222222,341.6326530612245,-25.714285714285623,T0872,20.44,L
2459478.573611111,42.772277227722775,-21.42857142857133,T0889,20.44,L
2459478.575,313.76146788990826,0.0,T1498,20.44,L
2459478.576388889,54.339622641509436,-12.857142857142748,T1098,20.44,L
2459478.577777778,22.97872340425532,-29.999999999999915,T0691,20.44,L
2459478.5791666666,80.42553191489363,29.999999999999915,T2157,20.44,L
2459478.5805555554,66.05504587155964,0.0,T1423,20.44,L
2459478.581944444,76.15384615384616,17.14285714285704,T1855,20.44,L
2459478.5833333335,87.56756756756756,47.14285714285708,T2503,20.44,L
2459478.5847222223,302.5531914893617,29.999999999999915,T2215,20.44,L
2459478.586111111,57.735849056603776,-12.857142857142748,T1099,20.44,L
2459478.5875,26.808510638297875,-29.999999999999915,T0692,20.44,L
2459478.5888888887,40.40816326530612,-25.714285714285623,T0790,20.44,L
2459478.590277778,66.66666666666667,-4.285714285714164,T1315,20.44,L
2459478.591666667,79.61538461538461,17.14285714285704,T1856,20.44,L
2459478.5930555556,304.0,34.28571428571421,T2306,20.44,L
2459478.5944444444,88.94117647058823,38.5714285714285,T2341,20.44,L
2459478.595833333,88.0,34.28571428571421,T2252,20.44,L
2459478.597222222,77.38317757009345,8.571428571428456,T1643,20.44,L
2459478.5986111113,30.638297872340427,-29.999999999999915,T0693,20.44,L
2459478.6,44.08163265306123,-25.714285714285623,T0791,20.44,L
2459478.601388889,67.28971962616822,-8.571428571428456,T1208,20.44,L
2459478.6027777777,85.54455445544555,21.42857142857133,T1961,20.44,L
2459478.6041666665,315.0,17.14285714285704,T1924,20.44,L
2459478.605555556,319.6261682242991,8.571428571428456,T1715,20.44,L
2459478.6069444446,312.2448979591837,25.714285714285623,T2123,20.44,L
2459478.6083333334,336.22641509433964,-12.857142857142748,T1181,20.44,L
2459478.609722222,47.755102040816325,-25.714285714285623,T0792,20.44,L
2459478.611111111,70.65420560747664,-8.571428571428456,T1209,20.44,L
2459478.6125,100.32786885245902,55.714285714285666,T2644,20.44,L
2459478.613888889,318.46153846153845,17.14285714285704,T1925,20.44,L
2459478.615277778,349.3069306930693,-21.42857142857133,T0975,20.44,L
2459478.6166666667,79.26605504587157,0.0,T1427,20.44,L
2459478.6180555555,96.0,34.28571428571421,T2254,20.44,L
2459478.6194444443,38.297872340425535,-29.999999999999915,T0695,20.44,L
2459478.620833333,330.2752293577982,0.0,T1503,20.44,L
2459478.6222222224,306.3829787234043,64.28571428571425,T2783,20.44,L
2459478.623611111,71.32075471698113,-12.857142857142748,T1103,20.44,L
2459478.625,352.8712871287129,-21.42857142857133,T0976,20.44,L
2459478.626388889,82.56880733944955,0.0,T1428,20.44,L
2459478.6277777776,80.0,-4.285714285714164,T1319,20.44,L
2459478.629166667,339.8130841121495,-8.571428571428456,T1289,20.44,L
2459478.6305555557,42.12765957446809,-29.999999999999915,T0696,20.44,L
2459478.6319444445,349.61538461538464,-17.14285714285704,T1079,20.44,L
2459478.6333333333,325.3846153846154,17.14285714285704,T1927,20.44,L
2459478.634722222,90.8411214953271,8.571428571428456,T1647,20.44,L
2459478.636111111,346.41509433962267,-12.857142857142748,T1184,20.44,L
2459478.6375,323.265306122449,25.714285714285623,T2126,20.44,L
2459478.638888889,90.0,4.285714285714164,T1539,20.44,L
2459478.640277778,58.775510204081634,-25.714285714285623,T0795,20.44,L
2459478.6416666666,353.0769230769231,-17.14285714285704,T1080,20.44,L
2459478.6430555554,67.72277227722772,-21.42857142857133,T0896,20.44,L
2459478.644444444,89.17431192660551,0.0,T1430,20.44,L
2459478.6458333335,102.85714285714286,25.714285714285623,T2066,20.44,L
2459478.6472222223,326.9387755102041,25.714285714285623,T2127,20.44,L
2459478.648611111,343.33333333333337,-4.285714285714164,T1398,20.44,L
2459478.65,62.44897959183674,-25.714285714285623,T0796,20.44,L
2459478.6513888887,356.53846153846155,-17.14285714285704,T1081,20.44,L
2459478.652777778,71.2871287128713,-21.42857142857133,T0897,20.44,L
2459478.654166667,49.787234042553195,-29.999999999999915,T0698,20.44,L
2459478.6555555556,331.4851485148515,21.42857142857133,T2030,20.44,L
2459478.6569444444,349.9065420560748,-8.571428571428456,T1292,20.44,L
2459478.658333333,326.11764705882354,38.5714285714285,T2397,20.44,L
2459478.659722222,79.61538461538461,-17.14285714285704,T1001,20.44,L
2459478.6611111113,66.12244897959184,-25.714285714285623,T0797,20.44,L
2459478.6625,100.93457943925233,8.571428571428456,T1650,20.44,L
2459478.663888889,14.693877551020408,-25.714285714285623,T0783,20.44,L
2459478.6652777777,335.0495049504951,21.42857142857133,T2031,20.44,L
2459478.6666666665,100.0,4.285714285714164,T1542,20.44,L
2459478.668055556,334.2857142857143,25.714285714285623,T2129,20.44,L
2459478.6694444446,83.07692307692308,-17.14285714285704,T1002,20.44,L
2459478.6708333334,88.30188679245283,-12.857142857142748,T1108,20.44,L
2459478.672222222,104.29906542056075,8.571428571428456,T1651,20.44,L
2459478.673611111,346.6666666666667,4.285714285714164,T1616,20.44,L
2459478.675,338.61386138613864,21.42857142857133,T2032,20.44,L
2459478.676388889,353.33333333333337,-4.285714285714164,T1401,20.44,L
2459478.677777778,108.67924528301887,12.857142857142748,T1759,20.44,L
2459478.6791666667,86.53846153846155,-17.14285714285704,T1003,20.44,L
2459478.6805555555,91.69811320754718,-12.857142857142748,T1109,20.44,L
2459478.6819444443,34.46808510638298,-29.999999999999915,T0694,20.44,L
2459478.683333333,3.3962264150943398,-12.857142857142748,T1083,20.44,L
2459478.6847222224,353.39449541284404,0.0,T1510,20.44,L
2459478.686111111,329.3617021276596,64.28571428571425,T2786,20.44,L
2459478.6875,114.23076923076924,17.14285714285704,T1866,20.44,L
2459478.688888889,90.0,-17.14285714285704,T1004,20.44,L
2459478.6902777776,105.68807339449542,0.0,T1435,20.44,L
2459478.691666667,117.62376237623762,21.42857142857133,T1970,20.44,L
2459478.6930555557,6.7924528301886795,-12.857142857142748,T1084,20.44,L
2459478.6944444445,25.714285714285715,-25.714285714285623,T0786,20.44,L
2459478.6958333333,122.55319148936171,29.999999999999915,T2168,20.44,L
2459478.697222222,117.6923076923077,17.14285714285704,T1867,20.44,L
2459478.698611111,345.3061224489796,25.714285714285623,T2132,20.44,L
2459478.7,127.05882352941177,38.5714285714285,T2350,20.44,L
2459478.701388889,356.6666666666667,4.285714285714164,T1619,20.44,L
2459478.702777778,89.10891089108911,-21.42857142857133,T0902,20.44,L
2459478.7041666666,21.386138613861387,-21.42857142857133,T0883,20.44,L
2459478.7055555554,68.93617021276596,-29.999999999999915,T0703,20.44,L
2459478.706944444,124.89795918367348,25.714285714285623,T2072,20.44,L
2459478.7083333335,112.29357798165138,0.0,T1437,20.44,L
2459478.7097222223,353.0769230769231,17.14285714285704,T1935,20.44,L
2459478.711111111,137.87234042553192,64.28571428571425,T2761,20.44,L
2459478.7125,92.67326732673267,-21.42857142857133,T0903,20.44,L
2459478.7138888887,24.95049504950495,-21.42857142857133,T0884,20.44,L
2459478.715277778,342.29508196721315,55.714285714285666,T2685,20.44,L
2459478.716666667,72.76595744680851,-29.999999999999915,T0704,20.44,L
2459478.7180555556,105.28301886792454,-12.857142857142748,T1113,20.44,L
2459478.7194444444,356.53846153846155,17.14285714285704,T1936,20.44,L
2459478.720833333,16.9811320754717,-12.857142857142748,T1087,20.44,L
2459478.722222222,96.23762376237624,-21.42857142857133,T0904,20.44,L
2459478.7236111113,0.0,12.857142857142748,T1727,20.44,L
2459478.725,125.66037735849056,12.857142857142748,T1764,20.44,L
2459478.726388889,76.59574468085107,-29.999999999999915,T0705,20.44,L
2459478.7277777777,124.48598130841121,8.571428571428456,T1657,20.44,L
2459478.7291666665,6.666666666666667,4.285714285714164,T1514,20.44,L
2459478.730555556,9.908256880733946,0.0,T1406,20.44,L
2459478.7319444446,91.83673469387756,-25.714285714285623,T0804,20.44,L
2459478.7333333334,32.07920792079208,-21.42857142857133,T0886,20.44,L
2459478.734722222,129.05660377358492,12.857142857142748,T1765,20.44,L
2459478.736111111,6.728971962616822,8.571428571428456,T1622,20.44,L
2459478.7375,135.91836734693877,25.714285714285623,T2075,20.44,L
2459478.738888889,3.4615384615384617,17.14285714285704,T1834,20.44,L
2459478.740277778,140.0,34.28571428571421,T2265,20.44,L
2459478.7416666667,117.75700934579439,-8.571428571428456,T1223,20.44,L
2459478.7430555555,35.64356435643565,-21.42857142857133,T0887,20.44,L
2459478.7444444443,3.5643564356435644,21.42857142857133,T1938,20.44,L
2459478.745833333,355.13513513513516,47.14285714285708,T2558,20.44,L
2459478.7472222224,31.153846153846153,-17.14285714285704,T0987,20.44,L
2459478.748611111,16.51376146788991,0.0,T1408,20.44,L
2459478.75,20.0,-4.285714285714164,T1301,20.44,L
2459478.751388889,121.1214953271028,-8.571428571428456,T1224,20.44,L
2459478.7527777776,99.18367346938776,-25.714285714285623,T0806,20.44,L
2459478.754166667,128.8073394495413,0.0,T1442,20.44,L
2459478.7555555557,118.8679245283019,-12.857142857142748,T1117,20.44,L
2459479.3347222223,257.14285714285717,-25.714285714285623,T0849,20.44,L
2459479.336111111,217.42574257425744,21.42857142857133,T1998,20.44,L
2459479.3375,352.6530612244898,25.714285714285623,T2134,20.44,L
2459479.3388888887,329.433962264151,-12.857142857142748,T1179,20.44,L
2459479.340277778,245.76923076923077,-17.14285714285704,T1049,20.44,L
2459479.341666667,241.13207547169813,-12.857142857142748,T1153,20.44,L
2459479.3430555556,231.19266055045873,0.0,T1473,20.44,L
2459479.3444444444,260.81632653061223,-25.714285714285623,T0850,20.44,L
2459479.345833333,238.87850467289718,-8.571428571428456,T1259,20.44,L
2459479.347222222,336.4485981308411,-8.571428571428456,T1288,20.44,L
2459479.3486111113,275.74468085106383,-29.999999999999915,T0757,20.44,L
2459479.35,328.84615384615387,-17.14285714285704,T1073,20.44,L
2459479.351388889,234.4954128440367,0.0,T1474,20.44,L
2459479.3527777777,315.9183673469388,-25.714285714285623,T0865,20.44,L
2459479.3541666665,216.0,42.85714285714279,T2453,20.44,L
2459479.355555556,353.20754716981133,12.857142857142748,T1831,20.44,L
2459479.3569444446,220.0,34.28571428571421,T2285,20.44,L
2459479.3583333334,0.0,25.714285714285623,T2038,20.44,L
2459479.359722222,224.08163265306123,25.714285714285623,T2099,20.44,L
2459479.361111111,228.46153846153848,17.14285714285704,T1899,20.44,L
2459479.3625,230.9433962264151,12.857142857142748,T1795,20.44,L
2459479.363888889,3.8297872340425534,29.999999999999915,T2137,20.44,L
2459479.365277778,245.60747663551402,-8.571428571428456,T1261,20.44,L
2459479.3666666667,339.62264150943395,-12.857142857142748,T1182,20.44,L
2459479.3680555555,3.673469387755102,25.714285714285623,T2039,20.44,L
2459479.3694444443,335.7692307692308,-17.14285714285704,T1075,20.44,L
2459479.370833333,356.6355140186916,8.571428571428456,T1726,20.44,L
2459479.3722222224,8.0,34.28571428571421,T2232,20.44,L
2459479.373611111,310.21276595744683,-29.999999999999915,T0766,20.44,L
2459479.375,263.76237623762376,-21.42857142857133,T0951,20.44,L
2459479.376388889,18.0,68.57142857142854,T2792,20.44,L
2459479.3777777776,222.35294117647058,51.428571428571374,T2601,20.44,L
2459479.379166667,339.2307692307692,-17.14285714285704,T1076,20.44,L
2459479.3805555557,12.705882352941178,38.5714285714285,T2323,20.44,L
2459479.3819444445,237.7358490566038,12.857142857142748,T1797,20.44,L
2459479.3833333333,3.3962264150943398,12.857142857142748,T1728,20.44,L
2459479.384722222,314.0425531914894,-29.999999999999915,T0767,20.44,L
2459479.386111111,22.5,72.85714285714283,T2832,20.44,L
2459479.3875,21.176470588235293,81.42857142857142,T2888,20.44,L
2459479.388888889,258.11320754716985,-12.857142857142748,T1158,20.44,L
2459479.390277778,238.84615384615387,17.14285714285704,T1902,20.44,L
2459479.3916666666,19.45945945945946,47.14285714285708,T2489,20.44,L
2459479.3930555554,21.176470588235293,51.428571428571374,T2563,20.44,L
2459479.394444444,0.0,0.0,T1403,20.44,L
2459479.3958333335,238.8118811881188,21.42857142857133,T2004,20.44,L
2459479.3972222223,10.384615384615385,17.14285714285704,T1836,20.44,L
2459479.398611111,346.1538461538462,-17.14285714285704,T1078,20.44,L
2459479.4,238.77551020408163,25.714285714285623,T2103,20.44,L
2459479.4013888887,236.0,34.28571428571421,T2289,20.44,L
2459479.402777778,356.6355140186916,-8.571428571428456,T1294,20.44,L
2459479.404166667,21.176470588235293,38.5714285714285,T2325,20.44,L
2459479.4055555556,256.6666666666667,-4.285714285714164,T1372,20.44,L
2459479.4069444444,13.846153846153847,17.14285714285704,T1837,20.44,L
2459479.408333333,10.093457943925234,8.571428571428456,T1623,20.44,L
2459479.409722222,247.9245283018868,12.857142857142748,T1800,20.44,L
2459479.4111111113,230.4,77.14285714285712,T2878,20.44,L
2459479.4125,0.0,-8.571428571428456,T1188,20.44,L
2459479.413888889,337.9591836734694,-25.714285714285623,T0871,20.44,L
2459479.4152777777,286.53061224489795,-25.714285714285623,T0857,20.44,L
2459479.4166666665,268.3018867924528,-12.857142857142748,T1161,20.44,L
2459479.418055556,33.75,72.85714285714283,T2833,20.44,L
2459479.4194444446,251.32075471698113,12.857142857142748,T1801,20.44,L
2459479.4208333334,246.12244897959184,25.714285714285623,T2105,20.44,L
2459479.422222222,238.23529411764704,51.428571428571374,T2604,20.44,L
2459479.423611111,0.0,-12.857142857142748,T1082,20.44,L
2459479.425,249.5049504950495,21.42857142857133,T2007,20.44,L
2459479.426388889,271.6981132075472,-12.857142857142748,T1162,20.44,L
2459479.427777778,26.808510638297875,29.999999999999915,T2143,20.44,L
2459479.4291666667,31.5,42.85714285714279,T2412,20.44,L
2459479.4305555555,10.0,-4.285714285714164,T1298,20.44,L
2459479.4319444443,245.64705882352942,38.5714285714285,T2378,20.44,L
2459479.433333333,266.6666666666667,-4.285714285714164,T1375,20.44,L
2459479.4347222224,264.22018348623857,0.0,T1483,20.44,L
2459479.436111111,275.09433962264154,-12.857142857142748,T1163,20.44,L
2459479.4375,39.27272727272727,59.99999999999996,T2694,20.44,L
2459479.438888889,242.1818181818182,59.99999999999996,T2725,20.44,L
2459479.4402777776,23.77358490566038,12.857142857142748,T1734,20.44,L
2459479.441666667,36.0,42.85714285714279,T2413,20.44,L
2459479.4430555557,20.0,4.285714285714164,T1518,20.44,L
2459479.4444444445,348.9795918367347,-25.714285714285623,T0874,20.44,L
2459479.4458333333,252.0,34.28571428571421,T2293,20.44,L
2459479.447222222,283.84615384615387,-17.14285714285704,T1060,20.44,L
2459479.448611111,266.6666666666667,4.285714285714164,T1592,20.44,L
2459479.45,13.457943925233645,-8.571428571428456,T1192,20.44,L
2459479.451388889,23.333333333333336,4.285714285714164,T1519,20.44,L
2459479.452777778,270.82568807339453,0.0,T1485,20.44,L
2459479.4541666666,352.6530612244898,-25.714285714285623,T0875,20.44,L
2459479.4555555554,254.11764705882354,38.5714285714285,T2380,20.44,L
2459479.456944444,256.0,34.28571428571421,T2294,20.44,L
2459479.4583333335,23.119266055045873,0.0,T1410,20.44,L
2459479.4597222223,38.297872340425535,29.999999999999915,T2146,20.44,L
2459479.461111111,26.666666666666668,4.285714285714164,T1520,20.44,L
2459479.4625,42.35294117647059,38.5714285714285,T2330,20.44,L
2459479.4638888887,30.2803738317757,8.571428571428456,T1629,20.44,L
2459479.465277778,290.7692307692308,-17.14285714285704,T1062,20.44,L
2459479.466666667,268.3018867924528,12.857142857142748,T1806,20.44,L
2459479.4680555556,282.61682242990656,-8.571428571428456,T1272,20.44,L
2459479.4694444444,280.0,-4.285714285714164,T1379,20.44,L
2459479.470833333,252.76595744680853,64.28571428571425,T2776,20.44,L
2459479.472222222,272.5233644859813,8.571428571428456,T1701,20.44,L
2459479.4736111113,288.6792452830189,-12.857142857142748,T1167,20.44,L
2459479.475,13.846153846153847,-17.14285714285704,T0982,20.44,L
2459479.476388889,276.6666666666667,4.285714285714164,T1595,20.44,L
2459479.4777777777,23.551401869158877,-8.571428571428456,T1195,20.44,L
2459479.4791666665,348.51063829787233,-29.999999999999915,T0776,20.44,L
2459479.480555556,44.08163265306123,25.714285714285623,T2050,20.44,L
